"sample_id","sample_region"
"HGDP01201_ERS474141","AF"
"HGDP01201_ERS474141","AF"
"HGDP00479_ERS474059","AF"
"HGDP00479_ERS474059","AF"
"HGDP01408_ERS474094","AF"
"HGDP01408_ERS474094","AF"
"HGDP00471_ERS474071","AF"
"HGDP00471_ERS474071","AF"
"HGDP01411_ERS474095","AF"
"HGDP01411_ERS474095","AF"
"HGDP00937_ERS474117","AF"
"HGDP00937_ERS474117","AF"
"HGDP01189_ERS474238","AS"
"HGDP01189_ERS474238","AS"
"HGDP01094_ERS474064","AF"
"HGDP01094_ERS474064","AF"
"HGDP00469_ERS474054","AF"
"HGDP00469_ERS474054","AF"
"HGDP00475_ERS474058","AF"
"HGDP00475_ERS474058","AF"
"HGDP01368_ERS474662","EU"
"HGDP01368_ERS474662","EU"
"HGDP00473_ERS474057","AF"
"HGDP00473_ERS474057","AF"
"HGDP01405_ERS474092","AF"
"HGDP01405_ERS474092","AF"
"HGDP00470_ERS474055","AF"
"HGDP00470_ERS474055","AF"
"HGDP00458_ERS474047","AF"
"HGDP00458_ERS474047","AF"
"HGDP00904_ERS474125","AF"
"HGDP00904_ERS474125","AF"
"HGDP01200_ERS474140","AF"
"HGDP01200_ERS474140","AF"
"HGDP00452_ERS474042","AF"
"HGDP00452_ERS474042","AF"
"HGDP00459_ERS474048","AF"
"HGDP00459_ERS474048","AF"
"HGDP00914_ERS474135","AF"
"HGDP00914_ERS474135","AF"
"HGDP00942_ERS474122","AF"
"HGDP00942_ERS474122","AF"
"HGDP01031_ERS474088","AF"
"HGDP01031_ERS474088","AF"
"HGDP00944_ERS474124","AF"
"HGDP00944_ERS474124","AF"
"HGDP01406_ERS474093","AF"
"HGDP01406_ERS474093","AF"
"HGDP01216_ERS474299","AS"
"HGDP01216_ERS474299","AS"
"HGDP00907_ERS474128","AF"
"HGDP00907_ERS474128","AF"
"HGDP01202_ERS474142","AF"
"HGDP01202_ERS474142","AF"
"HGDP00908_ERS474129","AF"
"HGDP00908_ERS474129","AF"
"HGDP00940_ERS474120","AF"
"HGDP00940_ERS474120","AF"
"HGDP00911_ERS474132","AF"
"HGDP00911_ERS474132","AF"
"HGDP00464_ERS474051","AF"
"HGDP00464_ERS474051","AF"
"HGDP00929_ERS474109","AF"
"HGDP00929_ERS474109","AF"
"HGDP00986_ERS474061","AF"
"HGDP00986_ERS474061","AF"
"HGDP01244_ERS474269","AS"
"HGDP01244_ERS474269","AS"
"HGDP00941_ERS474121","AF"
"HGDP00941_ERS474121","AF"
"HGDP00934_ERS474114","AF"
"HGDP00934_ERS474114","AF"
"HGDP00462_ERS474068","AF"
"HGDP00462_ERS474068","AF"
"HGDP00453_ERS474043","AF"
"HGDP00453_ERS474043","AF"
"HGDP00935_ERS474115","AF"
"HGDP00935_ERS474115","AF"
"HGDP00943_ERS474123","AF"
"HGDP00943_ERS474123","AF"
"HGDP01412_ERS474096","AF"
"HGDP01412_ERS474096","AF"
"HGDP01243_ERS474268","AS"
"HGDP01243_ERS474268","AS"
"HGDP01299_ERS474381","AS"
"HGDP01299_ERS474381","AS"
"HGDP00994_ERS474085","AF"
"HGDP00994_ERS474085","AF"
"HGDP01283_ERS474143","AF"
"HGDP01283_ERS474143","AF"
"HGDP00993_ERS474084","AF"
"HGDP00993_ERS474084","AF"
"HGDP00918_ERS474138","AF"
"HGDP00918_ERS474138","AF"
"HGDP00985_ERS474060","AF"
"HGDP00985_ERS474060","AF"
"HGDP00910_ERS474131","AF"
"HGDP00910_ERS474131","AF"
"HGDP00135_ERS474560","AS"
"HGDP00135_ERS474560","AS"
"HGDP00214_ERS474437","AS"
"HGDP00214_ERS474437","AS"
"HGDP01096_ERS474249","AS"
"HGDP01096_ERS474249","AS"
"HGDP00472_ERS474056","AF"
"HGDP00472_ERS474056","AF"
"HGDP00450_ERS474066","AF"
