"node_id","longitude","latitude"
0,-11.9999999999999,12
1,-11.9999999999999,12
2,17,4
3,17,4
4,37,-3
5,37,-3
6,29,0.999999999999999
7,29,0.999999999999999
8,37,-3
9,37,-3
10,4.99999999999998,8
11,4.99999999999998,8
12,109,28
13,109,28
14,17,4
15,17,4
16,17,4
17,17,4
18,17,4
19,17,4
20,3.81666561775622e-14,43
21,3.81666561775622e-14,43
22,17,4
23,17,4
24,37,-3
25,37,-3
26,17,4
27,17,4
28,17,4
29,17,4
30,-11.9999999999999,12
31,-11.9999999999999,12
32,-11.9999999999999,12
33,-11.9999999999999,12
34,17,4
35,17,4
36,17,4
37,17,4
38,-11.9999999999999,12
39,-11.9999999999999,12
40,4.99999999999998,8
41,4.99999999999998,8
42,24.25,-25.6
43,24.25,-25.6
44,4.99999999999998,8
45,4.99999999999998,8
46,37,-3
47,37,-3
48,124,48.5
49,124,48.5
50,-11.9999999999999,12
51,-11.9999999999999,12
52,-11.9999999999999,12
53,-11.9999999999999,12
54,-11.9999999999999,12
55,-11.9999999999999,12
56,4.99999999999998,8
57,4.99999999999998,8
58,-11.9999999999999,12
59,-11.9999999999999,12
60,17,4
61,17,4
62,4.99999999999998,8
63,4.99999999999998,8
64,17,4
65,17,4
66,81.5,43.5
67,81.5,43.5
68,4.99999999999998,8
69,4.99999999999998,8
70,4.99999999999998,8
71,4.99999999999998,8
72,29,0.999999999999999
73,29,0.999999999999999
74,17,4
75,17,4
76,4.99999999999998,8
77,4.99999999999998,8
78,4.99999999999998,8
79,4.99999999999998,8
80,37,-3
81,37,-3
82,81.5,43.5
83,81.5,43.5
84,81,44
85,81,44
86,24.25,-25.6
87,24.25,-25.6
88,-11.9999999999999,12
89,-11.9999999999999,12
90,24.25,-25.6
91,24.25,-25.6
92,-11.9999999999999,12
93,-11.9999999999999,12
94,17,4
95,17,4
96,-11.9999999999999,12
97,-11.9999999999999,12
98,64,26
99,64,26
100,70.5,33.5
101,70.5,33.5
102,109,29
103,109,29
104,17,4
105,17,4
106,29,0.999999999999999
107,29,0.999999999999999
108,-11.9999999999999,12
109,-11.9999999999999,12
110,81,44
111,81,44
112,105,12
113,105,12
114,105,12
115,105,12
116,70,33.5
117,70,33.5
118,74,36.5
119,74,36.5
120,64,26
121,64,26
122,-11.9999999999999,12
123,-11.9999999999999,12
124,70,33.5
125,70,33.5
126,70,33.5
127,70,33.5
128,29,0.999999999999999
129,29,0.999999999999999
130,35,32
131,35,32
132,64,26
133,64,26
134,69,25.5
135,69,25.5
136,35,32
137,35,32
138,39,44
139,39,44
140,129.5,63
141,129.5,63
142,66.5,30.5
143,66.5,30.5
144,69,25.5
145,69,25.5
146,74,36.5
147,74,36.5
148,35,31
149,35,31
150,2.99999999999999,32
151,2.99999999999999,32
152,35,31
153,35,31
154,105,12
155,105,12
156,66.5,30.5
157,66.5,30.5
158,70.5,33.5
159,70.5,33.5
160,69,25.5
161,69,25.5
162,81,44
163,81,44
164,4.99999999999998,8
165,4.99999999999998,8
166,17,4
167,17,4
168,71.5,36
169,71.5,36
170,129.5,63
171,129.5,63
172,66.5,30.5
173,66.5,30.5
174,71.5,36
175,71.5,36
176,35,32
177,35,32
178,39,44
179,39,44
180,39,44
181,39,44
182,74,36.5
183,74,36.5
184,129.5,63
185,129.5,63
186,35,32
187,35,32
188,29,0.999999999999999
189,29,0.999999999999999
190,35,31
191,35,31
192,66.5,30.5
193,66.5,30.5
194,70.5,33.5
195,70.5,33.5
196,4.99999999999998,8
197,4.99999999999998,8
198,66.5,30.5
199,66.5,30.5
200,17,4
201,17,4
202,109,28
203,109,28
204,66.5,30.5
205,66.5,30.5
206,4.99999999999998,8
207,4.99999999999998,8
208,4.99999999999998,8
209,4.99999999999998,8
210,119,48.5
211,119,48.5
212,4.99999999999998,8
213,4.99999999999998,8
214,4.99999999999998,8
215,4.99999999999998,8
216,29,0.999999999999999
217,29,0.999999999999999
218,4.99999999999998,8
219,4.99999999999998,8
220,2.99999999999999,32
221,2.99999999999999,32
222,35,32
223,35,32
224,35,32
225,35,32
226,109,28
227,109,28
228,20.0000000000001,-21
229,20.0000000000001,-21
230,70,33.5
231,70,33.5
232,29,0.999999999999999
233,29,0.999999999999999
234,37,-3
235,37,-3
236,37,-3
237,37,-3
238,37,-3
239,37,-3
240,20.0000000000001,-21
241,20.0000000000001,-21
242,114,32.3
243,114,32.3
244,4.99999999999998,8
245,4.99999999999998,8
246,114,32.3
247,114,32.3
248,2.99999999999999,32
249,2.99999999999999,32
250,17,4
251,17,4
252,81.5,43.5
253,81.5,43.5
254,4.99999999999998,8
255,4.99999999999998,8
